n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,6,6,0,6,0:00:00,1,6,5,5,0,5,0:00:00,1,5,5,5,0,4,0:00:00,1,4,2,2,0,3,0:00:00,1,4,4,3,1,2,0:00:00,2,3,2,2,0,1,0:00:00,1,2,1,1,0,0,0:00:00,1,1,0,0,0,0,0:00:00,1
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,9,8,1,7,0:00:00,2,6,5,5,0,5,0:00:00,1,5,5,5,0,3,0:00:00,1,4,4,3,1,3,0:00:00,2,4,3,2,1,2,0:00:00,2,3,2,2,0,1,0:00:00,1,2,1,1,0,0,0:00:00,1,1,0,0,0,0,0:00:00,1
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,7,6,1,7,0:00:00,2,6,6,6,0,4,0:00:00,1,5,7,6,1,3,0:00:00,2,4,3,3,0,3,0:00:00,1,4,4,3,1,2,0:00:00,2,3,2,2,0,1,0:00:00,1,2,1,1,0,0,0:00:00,1,1,0,0,0,0,0:00:00,1
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,7,7,0,6,0:00:00,1,6,8,6,2,7,0:00:00,2,5,4,3,1,3,0:00:00,2,4,3,2,1,4,0:00:00,2,4,3,3,0,2,0:00:00,1,3,2,2,0,1,0:00:00,1,2,0,0,0,1,0:00:00,1,1,0,0,0,0,0:00:00,1
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,9,8,1,7,0:00:00,2,6,6,6,0,4,0:00:00,1,5,5,4,1,3,0:00:00,2,4,6,3,3,1,0:00:00,3,4,6,3,3,1,0:00:00,3,3,3,2,1,1,0:00:00,2,2,1,1,0,0,0:00:00,1,1,0,0,0,0,0:00:00,1
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,7,7,0,6,0:00:00,1,6,6,6,0,5,0:00:00,1,5,7,6,1,2,0:00:00,2,4,5,4,1,1,0:00:00,2,4,4,4,0,2,0:00:00,1,3,2,2,0,1,0:00:00,1,2,2,1,1,0,0:00:00,2,1,0,0,0,0,0:00:00,1
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,7,7,0,5,0:00:00,1,6,6,6,0,5,0:00:00,1,5,5,4,1,3,0:00:00,2,4,4,3,1,1,0:00:00,2,4,6,4,2,1,0:00:00,3,3,2,2,0,1,0:00:00,1,2,2,1,1,0,0:00:00,2,1,0,0,0,0,0:00:00,1
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,7,7,0,6,0:00:00,1,6,6,6,0,4,0:00:00,1,5,5,4,1,3,0:00:00,2,4,4,4,0,2,0:00:00,1,4,3,3,0,3,0:00:00,1,3,3,3,0,0,0:00:00,1,2,0,0,0,1,0:00:00,1,1,0,0,0,0,0:00:00,1
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,7,7,0,6,0:00:00,1,6,5,5,0,5,0:00:00,1,5,3,3,0,4,0:00:00,1,4,5,4,1,1,0:00:00,2,4,6,3,3,1,0:00:00,3,3,2,2,0,1,0:00:00,1,2,1,0,1,0,0:00:00,2,1,0,0,0,0,0:00:00,1
8,8,8,0,7,0:00:00,1,8,8,8,0,7,0:00:00,1,7,6,6,0,6,0:00:00,1,6,8,6,2,7,0:00:00,2,5,4,4,0,4,0:00:00,1,4,3,3,0,3,0:00:00,1,4,6,4,2,1,0:00:00,3,3,3,2,1,0,0:00:00,2,2,0,0,0,1,0:00:00,1,1,0,0,0,0,0:00:00,1
