n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s,n,m,md,mu,# CI,runtime,s
5,0,0,0,4,0:00:00,1,5,1,0,1,5,0:00:00,2,5,2,0,2,6,0:00:00,2,5,3,0,3,11,0:00:00,4,5,4,0,4,3,0:00:00,4,5,5,0,5,4,0:00:00,5,5,6,0,6,7,0:00:00,5,5,7,0,7,3,0:00:00,5,5,8,0,8,2,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
5,0,0,0,4,0:00:00,1,5,1,0,1,3,0:00:00,2,5,2,0,2,4,0:00:00,2,5,3,0,3,6,0:00:00,3,5,4,0,4,8,0:00:00,5,5,5,0,5,8,0:00:00,5,5,6,0,6,5,0:00:00,5,5,7,0,7,5,0:00:00,5,5,8,0,8,3,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
5,0,0,0,4,0:00:00,1,5,1,0,1,5,0:00:00,2,5,2,0,2,7,0:00:00,3,5,3,0,3,8,0:00:00,3,5,4,0,4,6,0:00:00,5,5,5,0,5,8,0:00:00,5,5,6,0,6,5,0:00:00,5,5,7,0,7,3,0:00:00,5,5,8,0,8,2,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
5,0,0,0,4,0:00:00,1,5,1,0,1,5,0:00:00,2,5,2,0,2,7,0:00:00,3,5,3,0,3,8,0:00:00,3,5,4,0,4,6,0:00:00,5,5,5,0,5,8,0:00:00,5,5,6,0,6,7,0:00:00,5,5,7,0,7,5,0:00:00,5,5,8,0,8,2,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
5,0,0,0,4,0:00:00,1,5,1,0,1,5,0:00:00,2,5,2,0,2,7,0:00:00,3,5,3,0,3,8,0:00:00,3,5,4,0,4,6,0:00:00,5,5,5,0,5,2,0:00:00,4,5,6,0,6,3,0:00:00,5,5,7,0,7,1,0:00:00,5,5,8,0,8,1,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
5,0,0,0,4,0:00:00,1,5,1,0,1,5,0:00:00,2,5,2,0,2,7,0:00:00,3,5,3,0,3,10,0:00:00,4,5,4,0,4,12,0:00:00,4,5,5,0,5,7,0:00:00,5,5,6,0,6,3,0:00:00,5,5,7,0,7,3,0:00:00,5,5,8,0,8,3,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
5,0,0,0,4,0:00:00,1,5,1,0,1,3,0:00:00,2,5,2,0,2,7,0:00:00,3,5,3,0,3,8,0:00:00,4,5,4,0,4,13,0:00:00,4,5,5,0,5,9,0:00:00,5,5,6,0,6,9,0:00:00,5,5,7,0,7,5,0:00:00,5,5,8,0,8,2,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
5,0,0,0,4,0:00:00,1,5,1,0,1,5,0:00:00,2,5,2,0,2,7,0:00:00,3,5,3,0,3,10,0:00:00,4,5,4,0,4,9,0:00:00,3,5,5,0,5,6,0:00:00,5,5,6,0,6,3,0:00:00,5,5,7,0,7,5,0:00:00,5,5,8,0,8,2,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
5,0,0,0,4,0:00:00,1,5,1,0,1,5,0:00:00,2,5,2,0,2,6,0:00:00,2,5,3,0,3,3,0:00:00,4,5,4,0,4,9,0:00:00,3,5,5,0,5,6,0:00:00,5,5,6,0,6,6,0:00:00,5,5,7,0,7,3,0:00:00,5,5,8,0,8,1,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
5,0,0,0,4,0:00:00,1,5,1,0,1,5,0:00:00,2,5,2,0,2,6,0:00:00,2,5,3,0,3,4,0:00:00,4,5,4,0,4,10,0:00:00,5,5,5,0,5,2,0:00:00,4,5,6,0,6,7,0:00:00,5,5,7,0,7,2,0:00:00,5,5,8,0,8,2,0:00:00,5,5,9,0,9,1,0:00:00,5,5,10,0,10,0,0:00:00,5
